"","Country","AidRecieved","BirthByProS","PrimaryCompletion","ElecGenpCap","EnerUsepPsn","PrimaryExpd","SecndryExpd","TertiryExpd","DebtExternl","GPDpCapUSDl","MalnutLwWgt","AidRecdpPsn","BMImaleIndc","DroughtKill","EpdmcAffctd","EpdmcKilled","InfanttMort","GNItotalPPP","GovtCivlAid","HIVPlwha","HourCompens","HourCompns2","HoursprWeek","HealthExpnd","PovertyPPP","Ruralpovrty","TobaccoUse","AdultLitrcy","SEENRPRSCFM","SIPOVGINI","HealthExpGDP","TsunamiKill","UrbanPopulat","MaternalMort","MurderedMale","MurderFemale","OilConsumptn","SuicideFmale","SuicideMale","MaternalMort2"
"1","Abkhazia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan",0,0.19406150583245,0,NA,NA,NA,NA,NA,0.937914335140149,NA,0.265765765765766,0.846450426960647,0.946280031533734,1,0.993139831965804,0.989109545163357,0.401037165082109,0.997630889207634,NA,0.99897498901774,NA,NA,NA,0.00341002943223037,NA,NA,NA,0.183319852003214,0.175439192056352,0.0759678597516436,0.358024691358025,NA,0.141674151248428,0.185682533802556,0.0378207802492473,0.945950271007216,NA,0.682773650844547,0.922841545360764,0.58287795992714
"3","Akrotiri and Dhekelia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Albania",0.910716370112087,0.992576882290562,0.552743105716303,NA,0.035565777025476,0.110794406764607,NA,0.01888084697259,0.86367778326392,0.017668886478858,0.855855855855856,0.892212212825199,0.531010547834479,1,1,1,0.88504753673293,0.998136995203185,NA,NA,NA,NA,NA,0.0672522771002071,0.95583596214511,0.683143219264892,0.618947368421053,0.957786297297372,0.742527369939744,0.238860482103725,0.290123456790123,NA,0.476654841027483,0.994628634932395,0.0866388749387376,0.905325678790196,NA,0.778409858056753,0.852617892735417,0.977231329690346
"5","Algeria",0.932023405115005,0.949098621420997,0.608608034118082,0.0186576830363052,0.0628240703049218,0.169366275428112,0.0522919088768281,NA,0.995528150332943,0.020425215388079,0.936936936936937,0.949428533795453,0.662902671671388,1,1,1,0.866032843560933,0.980251558438831,NA,NA,NA,NA,NA,0.0376239762990542,0.752260778128286,0.674271229404309,0.770526315789474,0.633827902444239,0.763965034371552,0.258826393961529,0.148148148148148,NA,0.69535881084965,0.925171328023708,0.254776943968221,0.88624048275459,0.031797433572744,0.832759468263499,0.918731188363818,0.913479052823315
"6","American Samoa",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837257065263515,NA,NA,NA,0.923699928148015,NA,NA,NA,NA,NA,NA,NA
"7","Andorra",NA,NA,0.292776398295912,NA,NA,0.233657642986647,0.0525574180222915,0.0187231321941336,NA,0.207863895370931,NA,NA,0.44662288248552,NA,NA,NA,0.992221261884183,NA,NA,NA,NA,NA,NA,0.388045137476856,NA,NA,0.397894736842105,NA,0.815955189680047,NA,0.351851851851852,NA,0.857227860607149,0.995925171328024,0.0167942289997096,0.991241836113878,NA,0.895962830687178,0.872872301913046,NA
"8","Angola",0.926050910614609,0.441145281018028,0.126830196238514,NA,0.0393602332962142,0.0520331758671618,0.140811899892475,0.0415100301056192,0.920325289797182,0.00495199687964922,0.684684684684685,0.945513322545499,0.830077793665027,1,0.937533778804107,0.853299167200512,0.154710458081245,0.993206254135941,NA,0.958938845773348,NA,NA,NA,0.0182277474508162,0.262250262881178,NA,NA,0.603218137422004,0.431774590511754,0.826393961529097,0.0679012345679012,NA,0.541299173702174,0.691331728097796,0.586603401924447,0.302480252597465,NA,0.700876502880427,0.660821237693912,0.591985428051002
"9","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938530827001103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Antigua and Barbuda",0.958848001436631,1,0.642356759407879,NA,0.0940196975986382,0.113950829215076,0.0344190461352012,0.00790146446782913,NA,0.0939486917714856,NA,0.830503779339149,0.579519324391172,1,NA,NA,0.935177182368194,0.999924509261276,NA,NA,NA,NA,NA,0.116771811972631,NA,NA,NA,0.98596525407539,0.713808028515658,NA,0.259259259259259,NA,0.212711065205676,0.984626782737544,0.109402324395592,0.895444585473328,NA,NA,0.930017625339412,NA
