External debt stocks (% of GNI),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3161594394273,19.3806713300032,19.6247298323928,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7718346188543,92.941602057919,64.6371622893884,44.362638501278,18.5916370761522,16.0706687511191,23.2461700706778,22.8174243948836,20.5457968287357,28.2191080500516,26.0573631196976,24.6164886304161,25.6550587637999,20.353928616786,24.054047718746,25.9166498022748,25.9328823713142,29.7183991769591,39.3167085431478,40.5408675584427,
Algeria,,,,,,,,,,,19.8137325829844,25.0334240436977,22.9957811797116,34.6251270515936,25.6202536660914,30.1209663904768,35.1075649928944,51.4258070237464,61.0195050614066,57.5538849154943,47.0582318191502,42.6264139613887,40.1860011719408,34.4024244570863,30.4290067297428,32.3913560703581,36.3749687798936,37.438767489705,45.6902967150701,50.6768861822355,46.9467886281693,65.4950981280184,59.6574280651856,54.5157853582944,74.1082697300006,83.5191802927759,75.8286359010026,67.2410668548967,66.4457109633162,60.4227772880993,48.7485697549001,42.1966099401707,41.6494438094942,36.0430680700769,27.2499008120437,17.3468579991275,5.07760140327554,4.40857777361941,3.49732956787346,3.88602448823882,3.39204575642975,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6498291869154,104.600109077634,91.3487680193399,286.779857995287,326.732509858979,581.207161123716,311.860397322886,179.28153393566,155.1230817975,206.182380665653,218.307010392963,126.288274459811,114.355953176214,89.2619413118575,71.0971322299626,54.1332677741966,44.4853473233466,23.8741573350974,22.240535689286,21.431097265753,24.1968091001629,24.580440807178,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,19.1133643250671,18.5861076529396,19.8046373669655,13.6996562559598,10.495669417989,14.5301198512631,18.1272472182244,20.3149305371697,23.0022159242903,30.5274496352899,35.5986546190902,46.3776256889462,55.0379712705614,46.822313626002,65.1451605478817,60.8872863999497,49.5173049571163,55.1789088122366,48.737693235787,92.9323319169517,46.0470962221182,35.5741986532609,30.4377503682939,27.5708630456985,29.4701939795999,38.8581444658122,41.6510481341125,44.1318424924818,47.9475703769826,50.843438666193,50.9346491011385,56.942443631999,153.234863166618,131.779058980835,112.597538110052,70.7572042692871,55.4677787582139,45.9148981142052,37.2140508928943,40.4123279882038,36.1449631435494,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1463561966339,16.3035170947484,25.2755507040484,31.7083039953013,36.7348128927826,41.1553205884978,47.4542451033233,46.6490175484127,59.1689421511235,64.6017431473305,64.2249264072322,53.4661009316918,36.6040697029027,30.3643641368399,30.5539515713907,28.0699279554727,56.105997931862,64.7623540726046,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894888593148387,3.40703214271227,10.5625157078636,14.0729845641778,12.8517005127521,15.9391294129898,23.7699759590054,27.7569565210457,24.6044197567265,25.3018796647382,25.0757653001803,23.1379299178129,16.7332440404602,13.6157740842775,12.5901278976753,10.3984121402377,11.2570164401185,14.8784547440019,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,6.15482634756817,10.0843749267029,8.66789007546507,19.7985444925189,24.3135383109994,21.2744525849836,19.073279043433,21.5929233816073,20.9368212617129,26.8359207796017,30.2582518081476,27.4288278762296,29.6940169026697,36.6524939749748,39.9752895113821,39.1185308443152,38.9288586568475,39.9432645996026,41.0833719127578,41.3177314387764,41.4344103261606,44.4560510158881,40.2229131443146,36.2027897421142,32.6180752952293,34.0545706986578,34.6559633249402,31.7962820368341,30.5698367095714,33.3007134520995,33.4359633463151,32.8943023447619,29.0133145636301,30.3778672817752,28.9680641276598,26.4179073098334,24.4156528646941,22.8097898699971,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95127456326959,8.70047944413144,12.1694735079825,13.3081679366983,14.8354943665392,15.7857285578402,18.702052195659,16.8625816593466,18.9806012399995,19.8940221491876,18.10454315628,17.3907573065855,15.6499556153872,14.3838219986245,22.7038472295132,20.0599501612394,35.3285603004505,46.7837421730745,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,7.93249979615212,7.61880079007506,8.03168328799824,6.50114047684945,5.70793683619439,4.56233405942394,10.3547012030535,18.4471218206158,25.6471042471042,48.9617747440273,32.6530082987552,31.4931937172775,39.9982793232005,54.808174386921,48.9578373015873,59.2438534872052,54.5078299776286,50.9018400980866,43.2169934640523,39.1247700727116,35.134278306827,37.2814641323863,36.1012034199815,36.0310254307611,35.5420647117334,42.6235311914997,45.595153133114,71.342104999632,51.0873111992531,57.2570998935942,79.3213070148146,89.8671786901821,100.123246187206,118.620572665185,102.909081699852,102.04326947075,96.1533131435519,94.8251413265402,87.1797719964922,86.6361650485437,80.2597312859885,
Benin,,,,,,,,,,,13.1101330476006,15.4760163403568,11.5983696770687,17.924363110681,19.5192637216986,17.6459756423309,20.2224748808476,28.3209557866899,30.5525521657075,38.2180938113413,33.8656761853172,42.1782427313772,60.09847467428,73.7904548065494,74.6531986757566,88.1353642501302,79.2759836574363,81.1384307078761,73.3470627847565,73.0958675789,61.9972323893556,62.7330762528277,75.9502124878554,61.4873572879093,94.5538300197009,71.0703770589976,63.7191376871665,66.3562989751905,61.7759684358812,62.2146510326237,61.8822390963035,62.0177432969205,57.3758483545846,41.8716801642914,39.8876057452457,36.1070214931232,13.8577070119234,14.0791333644338,13.7408887990762,16.2363462603482,18.4121949821314,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.280442750045508,0.945826150261924,1.36928658694521,1.99710755714445,6.27186367754416,12.202714809314,18.413497263038,27.2465619295805,25.4328084082504,28.0642868627575,34.5302540931281,37.3187405052449,40.8611559656588,37.8730755693783,36.2761996042265,35.7503531225875,32.0882288710878,47.8176194048717,49.0312892438621,48.6720403769673,58.2374549877572,75.0783031085755,82.3584065987484,86.4573042278229,80.4832100196622,79.2640127921249,66.5933671643774,55.6691545198657,61.152561453564,63.2682231225141,
Bolivia,,,,,,,,,,,55.635230834698,56.3867936965411,58.1241646452261,60.5097034977318,40.4017680760529,40.2991110245843,45.1336241962,51.8134806507953,55.6859750962858,56.5292214510761,59.5015229045886,51.1043352113709,63.8539229112774,77.5563185078048,75.2055315564102,97.095084599413,152.759093114625,143.579007425145,113.080965448748,92.5134439588133,92.4021166120988,79.6205155135356,77.646501659864,77.8815620254673,84.1746131396429,81.1853381805824,71.795324691528,67.7270342025002,67.3518056761586,68.5887215284602,70.7897780693143,59.168928112039,65.0019303545632,74.5622585033641,74.1663048418946,75.3074265258302,52.4485145783255,39.5238417441872,34.2521365761143,34.4591361349434,27.8272153045089,
