"Energy use, per capita (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,0.784875608251662,0.866172857790984,0.763339925685682,0.777651029324755,0.828228162184204,0.892470016359343,0.925698936135431,1.01237997737031,0.864629490202673,1.14983603488938,0.989572955003415,0.969010207402671,1.00445848086049,1.0229916665629,0.918775339065866,0.960445613212663,0.912220407579054,0.912529649242188,0.888678840207761,0.812500626998224,0.568290196995773,0.415738312687884,0.412746003675772,0.445773503652528,0.423779616198392,0.456432361786637,0.392255964128229,0.42524854361932,0.573452554328812,0.579513818356069,0.585242046963356,0.649229167920802,0.645354992321437,0.705188486783892,0.702235024508244,0.662679262892086,0.646798636448962,0.65565127521023,0.6531791201429,0.648290850623728,
Algeria,,,,,,,,,,,,0.24474905881304,0.275555918400669,0.320556342917671,0.334268951633189,0.344826804767953,0.381264008451296,0.413363801668271,0.492853291132087,0.604403907661149,0.59584782447945,0.626760512308574,0.789838526232147,0.826135167822285,0.793207226029682,0.803142124339169,0.88107888052969,0.846100792060336,0.86954998613078,0.840094129665438,0.877179981550392,0.905415887663051,0.908458286098609,0.887953630162022,0.83798652059959,0.85203324196225,0.816117912151223,0.823003840553937,0.839485404142808,0.883709563869376,0.884947275033686,0.874483405220815,0.916100096915423,0.96268822229315,0.956878536542482,0.984091466277415,1.0387316357707,1.0860219712354,1.08761925022252,1.16583096252928,1.13823929305929,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,0.636725544898124,0.670846329545924,0.653363057191854,0.651734664690594,0.620860909941048,0.59812655587948,0.574407280813644,0.614731027218773,0.605147866330119,0.597382312048827,0.581165776413296,0.553082152901191,0.548386291432015,0.535443989360225,0.550458096254816,0.541449174313895,0.540593253270278,0.548945373726489,0.547061462012638,0.569242999454671,0.565451027196188,0.550548264050147,0.551688878141007,0.541553066688467,0.528613093401503,0.532422421598486,0.533207209966482,0.521797741178154,0.536380695810814,0.538474949651284,0.547904803393659,0.557682918623007,0.58384781318582,0.611988687422685,0.568569110318921,0.599435602972917,0.625843498740996,0.657618232301606,0.679068871305837,0.716493504424504,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58881566509115,,,,,,,,,,,,,,1.62968685868804,1.6325849659183,1.68330351257181,1.6989585151568,,,,
Argentina,,,,,,,,,,,,1.38065361456991,1.37944415337813,1.4115180886316,1.4151055614619,1.37844970293992,1.40364570397388,1.42028932706752,1.42476107296777,1.48355506071636,1.48660586313197,1.42976541093115,1.41625281972452,1.41937341493759,1.44914887729971,1.36194831430469,1.42409093458359,1.47974193885928,1.50843710495686,1.44490325385209,1.41146651956983,1.43496060066516,1.48945070789009,1.46943427608146,1.5524594286543,1.55032987942101,1.57562102062586,1.63888014449084,1.66264176631389,1.65337180296702,1.65049336041721,1.55046150733111,1.47079355578487,1.55382547800861,1.75538263725374,1.73141308999567,1.8739162076525,1.87138944036519,1.93017265469479,1.86043466616012,1.84682375517836,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17131375195891,2.30984088784588,1.19332886948759,0.646577990032557,0.414996626693491,0.506306983832391,0.557521077742944,0.589980145691832,0.606005401561416,0.589324032946098,0.651264361538547,0.651636272306503,0.610102947762986,0.643765801877699,0.680194879403594,0.817053680518364,0.829406640858623,0.925555131594399,0.973201146963369,0.843184345825369,0.790845103218812,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,3.06355427059293,3.11578708385004,3.17297486501582,3.28405095890411,3.34941416674129,3.46321557780119,3.54653797957257,3.69280794982626,3.76355841452244,3.79293476310854,4.06341136963301,3.9896297441447,4.03520634438795,4.26427122571002,4.29416162646652,4.34587144605197,4.40570298581914,4.67119567361894,4.62961847053907,4.68385317624363,4.7374820310373,4.69467642526964,4.8174895243115,4.56142605244323,4.65151923571796,4.62142086559208,4.62045179293812,4.76494506237741,4.77074224846058,4.99804732848035,5.05276968784244,4.92683533904189,4.95752369248357,5.16070645836871,5.11124861383366,5.12166993138557,5.40365730981377,5.47008781120052,5.55475976698199,5.61088650533657,5.64454137732992,5.44741667954464,5.57015291531392,5.57386194798798,5.51490634657233,5.60023505991723,5.60549669290121,5.68300733183058,5.77881731283578,5.73886263934,5.59322123965237,5.29594016073844
Austria,1.54626146801032,1.5540349059502,1.67587362115182,1.82399522506933,1.85508515530813,1.85184356410887,1.9027564078226,1.92021212422723,2.04582812289501,2.18163230885943,2.41821012909186,2.5085209190556,2.62732249578186,2.83094680215104,2.73043732640895,2.65484872942694,2.86697592037565,2.7974219223802,2.89302229941797,3.13891614262013,3.06701191996803,2.89700939790268,2.83022178095467,2.84340556816995,2.95368814962876,3.05159706199021,3.06158886225966,3.17474539202539,3.20456218243746,3.13898348816934,3.23553924601288,3.40994825072332,3.24036168157752,3.25039753299957,3.22963872260972,3.36809834784339,3.57395366789642,3.54443670658823,3.60087223066826,3.58510878688101,3.56457776170102,3.75224416717968,3.76745941607955,3.96670435710589,4.00077998366611,4.10330428597872,4.08585969568639,4.02244907350965,4.02380085897368,3.79684278161806,4.03358208466,3.87500736429505
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6525337337617,3.3478532526475,2.80099729070713,2.32862481654436,2.09596077398973,1.65970618087183,1.51748615226072,1.43582712978024,1.51139997472514,1.37656246281044,1.42028887011406,1.40112350823553,1.3969111411597,1.45483343656259,1.53211003431048,1.64987779810173,1.58833845047763,1.41196089170638,1.5154813200356,1.30522128436659,1.30745978830907,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51951111553598,,,,,,,,,,,,,,2.10968453226324,2.1793723658089,2.17856856319392,2.1559260599463,,,,
Bahrain,,,,,,,,,,,,6.41744255962684,5.99501872905303,8.53306103963635,9.05319467215567,8.04237441544728,9.63549752874276,8.23264435815214,7.88630338367247,8.86110035779225,7.83684353148563,8.34067685460419,9.12219602120979,8.55228788017171,8.88098678701378,9.97591196582632,8.24899209692581,7.88052682778129,8.82155808076437,8.71464973482986,8.82551314590852,7.9764034854002,8.31986007204212,8.74628166548326,9.07351342033892,8.81815840263009,8.63598555610056,9.13050898334868,9.51298268920239,9.02093448102558,9.18951163676192,9.44544053789046,10.0194262307848,10.4329289021021,10.3751652375849,10.3480636914379,10.1932475567222,9.45659385589582,8.78470750000713,8.09625352050056,7.75367460880385,
Bangladesh,,,,,,,,,,,,0.083801409806484,0.085782447973323,0.092160664683718,0.09432200380925,0.095307967870865,0.099303448057922,0.099095668725313,0.099600201623998,0.100530864788792,0.104216200096092,0.103441517319901,0.10635460664634,0.106039652365095,0.104744473225482,0.107816277384417,0.112346089525983,0.107639571221344,0.115178318568302,0.11782350312778,0.120996407369589,0.116511475882494,0.120235439050409,0.124190375715098,0.126988771805495,0.135307621224185,0.133336185584029,0.136512118865867,0.139454308402344,0.138703612418932,0.143590264157335,0.153265813472116,0.154672544055466,0.15903942348567,0.162563068044475,0.169543227191309,0.177721537034765,0.183203412996003,0.191053023028177,0.200106243518974,0.208842531149143,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24079799307132,,,,,,,,,,,,,,1.38916157616125,1.44175850175414,1.46829876559606,1.4763380924681,,,,
