"","country","gdp","lifeExp"
"1","Afghanistan",-0.950565471644519,-0.371291029225493
"2","Åland",-0.999922176956837,-0.156057631237323
"3","Albania",-0.753862992767179,-0.186489001871268
"4","Algeria",-0.663918631181684,-0.258319622658632
"5","American Samoa",-0.655893455814381,-1
"6","Andorra",-0.179492385787272,-0.988762418525131
"7","Angola",-0.810154713723004,-0.472968666410109
"8","Anguilla",-0.517507932290988,-0.966287255575392
"9","Antigua and Barbuda",-0.481152005680375,-0.20264864403213
"10","Argentina",-0.542722528968996,-0.198704252934451
"11","Armenia",-0.805439039857423,-0.218302595026623
"12","Aruba",-0.0657218176675392,-0.20825619718809
"13","Australia",0.110818863967007,-0.129132386023536
"14","Austria",0.117720494938463,-0.144404259247883
"15","Azerbaijan",-0.567665957964995,-0.261095305282925
"16","Bahamas",-0.404149538028009,-0.210705989949612
"17","Bahrain",0.0837470418600703,-0.195299265747566
"18","Bangladesh",-0.935903646765461,-0.262174113104513
"19","Barbados",-0.60593113242824,-0.209211391613454
"20","Belarus",-0.557122273613705,-0.270366309999692
"21","Belgium",0.0196884317006867,-0.151023194736581
"22","Belize",-0.782374245890812,-0.225932912848059
"23","Benin",-0.955020998444708,-0.389462198470356
"24","Bermuda",0.426328034237359,-0.786485951977485
"25","Bhutan",-0.799985962079334,-0.288728518129629
"26","Bolivia",-0.846754816825899,-0.300348177374643
"27","Bosnia and Herzegovina",-0.759741869233254,-0.197973810138585
"28","Botswana",-0.616372564451086,-0.521593681451868
"29","Brazil",-0.623128931344023,-0.225314845866942
"30","British Virgin Islands",0.264368994541881,-0.71906046312827
"31","Brunei",0.768373754269165,-0.173509595267795
"32","Bulgaria",-0.586469619928085,-0.229675027479191
"33","Burkina Faso",-0.958753743472676,-0.423017616754315
"34","Burundi",-0.980364809270273,-0.448189799258022
"35","Cambodia",-0.922757778472091,-0.248025998027652
"36","Cameroon",-0.932420240531897,-0.437390483460673
"37","Canada",0.0620649111508729,-0.140527293639053
"38","Cape Verde",-0.83982762538772,-0.212324201681993
"39","Cayman Islands",0.288887454595665,-0.617922229854447
"40","Central African Rep.",-0.984743136928115,-0.492297306546884
"41","Chad",-0.947201933974001,-0.48102601232759
"42","Channel Islands",-0.998884536381329,-0.153540412986952
"43","Chile",-0.435083843813018,-0.157687080551179
"44","China",-0.701095882551926,-0.209649657290974
"45","Christmas Island",-0.998806713338166,-0.550496741005232
"46","Cocos Island",-0.998780772323778,-0.539259159530363
"47","Colombia",-0.687186031730097,-0.22417985013798
"48","Comoros",-0.960609946498139,-0.372111372673158
"49","Congo- Dem. Rep.",-0.98772685557559,-0.494724624145456
"50","Congo- Rep.",-0.850981080919857,-0.395496779722361
"51","Cook Islands",-0.539649497049025,-0.483071252156017
"52","Costa Rica",-0.655830051779609,-0.15796802008805
"53","Cote d'Ivoire",-0.925566622896479,-0.48619529980603
