"","SHORT_NAME","LAT","LONG","X","Y","Z"
"1","Afghanistan",57,66,0.341118051452597,0.766163687805082,0.544639035015027
"2","Albania",49,20,0.709195023371769,0.258125878797048,0.656059028990507
"3","Algeria",62,3,0.881737543869381,0.0462099065846774,0.469471562785891
"4","American Samoa",104.3333333,190,-0.954152528630935,-0.16824283450884,-0.247562720827719
"5","Andorra",47.5,1.5,0.737024690280712,0.019299670734245,0.67559020761566
"6","Angola",102.5,18.5,0.925844598035193,0.309783269088854,-0.216439613938103
"7","Anguilla",71.783333,296.95,0.430498276155786,-0.846726309261577,0.312611246488613
"8","Antigua and Barbuda",72.95,298.2,0.451781804064596,-0.842569503855549,0.29320612662213
"9","Argentina",124,296,0.363426151412187,-0.745134034370785,-0.559192903470747
"10","Armenia",50,45,0.541675220419702,0.541675220419702,0.642787609686539
"11","Aruba",77.5,290.033333,0.334446570655017,-0.917223737642798,0.216439613938103
"12","Ascension",105.95,354.3,0.956747790133804,-0.0954961249928705,-0.274798391890181
"13","Ashmore and Cartier Islands",102.416667,123.333333,-0.536655832922446,0.815945563958143,-0.215019426209223
"14","Australia",115,135,-0.640856382055789,0.640856382055789,-0.422618261740699
"15","Austria",42.666667,13.333333,0.6594636504684,0.156295752262945,0.735309004116944
"16","Azerbaijan",49.5,47.5,0.513722824171912,0.560630085212122,0.649448048330184
"17","Bahamas",66,284,0.221006648829364,-0.886409253309465,0.4067366430758
"18","Bahrain",64,50.5,0.571703317366224,0.693531581526958,0.438371146789077
"19","Bangladesh",66,90,5.59385260288808e-17,0.913545457642601,0.4067366430758
"20","Barbados",76.833333,300.466667,0.4937078078083,-0.839265662996728,0.227784431917078
"21","Bassas da India",111.416667,39.7,0.716272235705173,0.594660667201094,-0.365147607471092
"22","Belarus",37,28,0.53137112603844,0.282535039427219,0.798635510047293
"23","Belgium",39.166667,4,0.630039862681337,0.044056678994633,0.775312053607092
"24","Belize",72.75,271.25,0.0208336502940467,-0.954792675572259,0.296541574975571
"25","Benin",80.5,2.25,0.985525211082149,0.0387213910021739,0.165047605860678
"26","Bermuda",57.666667,295.25,0.36042960644253,-0.764220116542873,0.53484400741794
"27","Bhutan",62.5,90.5,-0.00774053152317185,0.886977058523647,0.461748613235034
"28","Bolivia",107,295,0.404151853659462,-0.866706447109482,-0.292371704722737
"29","Bonaire",77.8,291.75,0.362188729168041,-0.907833219741781,0.211324796455389
"30","Bosnia and Herzegovina",45.75,17.833333,0.681884628613978,0.219366878570842,0.69779045984168
"31","Botswana",112,24,0.847024598739046,0.377119648520576,-0.374606593415912
"32","Bouvet Island",144.433333,3.4,0.580626029759737,0.0344955423192032,-0.813439285457463
"33","Brazil",100,305,0.564862521463623,-0.806707284111599,-0.17364817766693
"34","British Indian Ocean Territory",96,72,0.30732416694678,0.945846529188203,-0.104528463267653
"35","British Virgin Islands",71.5,295.5,0.408263856932072,-0.855942975989987,0.317304656405092
"36","Brunei",85.5,114.666667,-0.416051944576921,0.905949750102803,0.078459095727845
"37","Bulgaria",47,25,0.662831554855533,0.30908343009592,0.681998360062498
"38","Burkina Faso",77,358,0.973776504868366,-0.0340050248629878,0.224951054343865
"39","Burma",68,98,-0.129039052200166,0.918160565030218,0.374606593415912
"40","Burundi",93.5,30,0.864410091834597,0.499067399210933,-0.061048539534857
"41","Cambodia",77,105,-0.252185529744196,0.941169209939011,0.224951054343865
"42","Cameroon",84,12,0.972789205831713,0.2067727288213,0.104528463267653
"43","Canada",30,264,-0.0522642316338267,-0.497260947684137,0.866025403784439
